Basis density in accepting rows,Basis density in accepting rows from accept prob,Fraction of selected rows,Fraction of selected rows (rounded),Number of accepting rows,Number of ambiguous rows,Number of selected rows,Optimization dual bound,Optimization primal bound,Optimization termination status,"Probability of Basis-Accept, ESTIMATE",Rank of set of accepting rows,_iter,n,α
0.209019,0.18811522658732668,0.3098039215686297,0.30980392156862746,79.0,0.0,79.0,127.00000000000088,127.00000000000088,OPTIMAL,3.7e-05,8.0,3,8,0.5
0.209522,0.21353620315318164,0.30980392156891867,0.30980392156862746,79.0,0.0,79.0,123.00000000009882,123.00000000009882,OPTIMAL,4.2e-05,8.0,4,8,0.5
0.122833,0.10168132297357647,0.26274509803923096,0.2627450980392157,67.0,0.0,67.0,100.00000000000638,100.00000000000638,OPTIMAL,5e-06,8.0,5,8,0.5
0.202485,0.0,0.22352941176471586,0.2235294117647059,57.0,0.0,57.0,87.00000000000415,87.00000000000414,OPTIMAL,0.0,8.0,6,8,0.5
0.144137,0.11220510731735658,0.27843137254902806,0.2784313725490196,71.0,0.0,71.0,108.00000000000315,108.00000000000315,OPTIMAL,9e-06,8.0,7,8,0.5
0.2099,0.20336781252683966,0.30980392156862746,0.30980392156862746,79.0,0.0,79.0,123.00000000000003,123.00000000000003,OPTIMAL,4e-05,8.0,8,8,0.5
0.202378,0.0,0.22352941176472654,0.2235294117647059,57.0,0.0,57.0,88.00000000002566,88.00000000002566,OPTIMAL,0.0,8.0,9,8,0.5
0.209635,0.20336781252683966,0.30980392156863784,0.30980392156862746,79.0,0.0,79.0,159.0,120.00000000000318,,4e-05,8.0,10,8,0.5
0.124114,0.12201758756829176,0.26274509803921464,0.2627450980392157,67.0,0.0,67.0,100.9999999999991,100.9999999999991,OPTIMAL,6e-06,8.0,11,8,0.5
0.202253,0.24081254422399845,0.22352941176473995,0.2235294117647059,57.0,0.0,57.0,84.00000000001462,84.00000000001462,OPTIMAL,3e-06,8.0,12,8,0.5
0.210089,0.2542097656585496,0.30980392156863235,0.30980392156862746,79.0,0.0,79.0,139.0,121.0000000000011,,5e-05,8.0,13,8,0.5
0.202461,0.0,0.2235294117647347,0.2235294117647059,57.0,0.0,57.0,85.00000000001299,85.00000000001299,OPTIMAL,0.0,8.0,14,8,0.5
0.124024,0.18302638135243762,0.2627450980392156,0.2627450980392157,67.0,0.0,67.0,99.99999999999997,99.99999999999996,OPTIMAL,9e-06,8.0,15,8,0.5
0.12333,0.08134505837886116,0.26274509803921764,0.2627450980392157,67.0,0.0,67.0,105.00000000000071,105.00000000000071,OPTIMAL,4e-06,8.0,16,8,0.5
0.123238,0.18302638135243762,0.2627450980392201,0.2627450980392157,67.0,0.0,67.0,104.00000000000088,104.00000000000088,OPTIMAL,9e-06,8.0,17,8,0.5
0.202439,0.4816250884479969,0.22352941176475433,0.2235294117647059,57.0,0.0,57.0,86.00000000002012,86.00000000002014,OPTIMAL,6e-06,8.0,18,8,0.5
0.123515,0.14235385216300706,0.2627450980392176,0.2627450980392157,67.0,0.0,67.0,100.00000000000117,100.00000000000117,OPTIMAL,7e-06,8.0,19,8,0.5
0.202738,0.08027084807466614,0.22352941176471325,0.2235294117647059,57.0,0.0,57.0,86.0000000000029,86.0000000000029,OPTIMAL,1e-06,8.0,20,8,0.5
0.206845,0.1492132124681988,0.3111545988258312,0.3111545988258317,159.0,0.0,159.0,414.0,234.99999999999963,,1.1e-05,9.0,1,9,0.5
0.206965,0.20347256245663473,0.31115459882601804,0.3111545988258317,159.0,0.0,159.0,435.0,236.00000000012665,,1.5e-05,9.0,2,9,0.5
0.201617,0.0,0.225048923710913,0.22504892367906065,115.0,0.0,115.0,270.0,177.00000002271872,,0.0,9.0,3,9,0.5
0.207606,0.1492132124681988,0.3111545988258333,0.3111545988258317,159.0,0.0,159.0,465.0,243.0000000000013,,1.1e-05,9.0,4,9,0.5
0.207403,0.1492132124681988,0.3111545988366319,0.3111545988258317,159.0,0.0,159.0,434.0,251.00000000712762,,1.1e-05,9.0,5,9,0.5
0.20794,0.20347256245663473,0.3111545988258317,0.3111545988258317,159.0,0.0,159.0,457.0,243.0,,1.5e-05,9.0,6,9,0.5
0.207215,0.13564837497108984,0.31115459882591484,0.3111545988258317,159.0,0.0,159.0,415.0,237.0000000000638,,1e-05,9.0,7,9,0.5
0.124301,0.06168438719843381,0.2641878669287242,0.26418786692759294,135.0,0.0,135.0,281.0,197.00000000082144,,1e-06,9.0,8,9,0.5
0.143915,0.1085225615837532,0.27984344422771246,0.27984344422700586,143.0,0.0,143.0,346.0,213.00000000048692,,3e-06,9.0,9,9,0.5
0.124354,0.0,0.26418786696302354,0.26418786692759294,135.0,0.0,135.0,295.0,197.00000001392476,,0.0,9.0,10,9,0.5
0.20759,0.27129674994217967,0.31115459882593155,0.3111545988258317,159.0,0.0,159.0,405.0,244.00000000004675,,2e-05,9.0,11,9,0.5
